fid,X,Y,drn_id,value
389,24108.5416,5472.948,142222,1.0
390,24138.5416,5472.948,142222,1.0
391,24168.5416,5472.948,142222,1.0
392,24198.5416,5472.948,142222,1.0
393,24228.5416,5472.948,142222,1.0
394,24258.5416,5472.948,142222,1.0
395,24288.5416,5472.948,142222,1.0
396,24318.5416,5472.948,142222,1.0
397,24348.5416,5472.948,142222,1.0
398,24378.5416,5472.948,142222,1.0
399,24408.5416,5472.948,142222,1.0
400,24858.5416,5472.948,142222,1.0
401,24858.5416,5442.948,142222,1.0
402,24858.5416,5412.948,142222,1.0
403,24858.5416,5382.948,142222,1.0
404,24858.5416,5352.948,142222,1.0
405,24858.5416,5322.948,142222,1.0
406,24858.5416,5292.948,142222,1.0
407,24858.5416,5262.948,142222,1.0
408,24858.5416,5232.948,142222,1.0
409,24858.5416,5202.948,142222,1.0
410,25338.5416,5202.948,142222,1.0
411,25368.5416,5202.948,142222,1.0
412,25398.5416,5202.948,142222,1.0
413,25428.5416,5202.948,142222,1.0
414,25458.5416,5202.948,142222,1.0
415,25488.5416,5202.948,142222,1.0
416,25518.5416,5202.948,142222,1.0
417,25548.5416,5202.948,142222,1.0
418,25578.5416,5202.948,142222,1.0
419,25608.5416,5202.948,142222,1.0
420,24858.5416,5172.948,142222,1.0
421,25128.5416,5172.948,142222,1.0
422,25158.5416,5172.948,142222,1.0
423,25188.5416,5172.948,142222,1.0
424,25218.5416,5172.948,142222,1.0
425,25248.5416,5172.948,142222,1.0
426,25278.5416,5172.948,142222,1.0
427,25308.5416,5172.948,142222,1.0
428,25338.5416,5172.948,142222,1.0
429,25368.5416,5172.948,142222,1.0
430,24858.5416,5142.948,142222,1.0
431,24888.5416,5142.948,142222,1.0
432,24918.5416,5142.948,142222,1.0
433,24948.5416,5142.948,142222,1.0
434,24978.5416,5142.948,142222,1.0
435,25008.5416,5142.948,142222,1.0
436,25038.5416,5142.948,142222,1.0
437,25068.5416,5142.948,142222,1.0
438,25098.5416,5142.948,142222,1.0
439,21888.5416,4872.948,35135,1.0
440,21918.5416,4872.948,35135,1.0
441,21948.5416,4872.948,35135,1.0
442,21978.5416,4872.948,35135,1.0
443,22008.5416,4872.948,35135,1.0
444,22038.5416,4872.948,35135,1.0
445,22068.5416,4872.948,35135,1.0
446,22098.5416,4872.948,35135,1.0
447,22128.5416,4872.948,35135,1.0
448,22158.5416,4872.948,35135,1.0
449,22188.5416,4872.948,35135,1.0
450,22218.5416,4872.948,35135,1.0
451,22248.5416,4872.948,35135,1.0
452,22278.5416,4872.948,35135,1.0
453,22308.5416,4872.948,35135,1.0
454,22338.5416,4872.948,35135,1.0
455,22368.5416,4872.948,35135,1.0
456,22398.5416,4872.948,35135,1.0
457,22428.5416,4872.948,35135,1.0
458,22458.5416,4872.948,35135,1.0
459,22488.5416,4872.948,35135,1.0
460,22518.5416,4872.948,35135,1.0
461,22548.5416,4872.948,35135,1.0
462,22578.5416,4872.948,35135,1.0
463,22608.5416,4872.948,35135,1.0
464,22638.5416,4872.948,35135,1.0
465,22668.5416,4872.948,35135,1.0
466,22698.5416,4872.948,35135,1.0
467,22728.5416,4872.948,35135,1.0
468,22758.5416,4872.948,35135,1.0
469,22788.5416,4872.948,35135,1.0
470,22818.5416,4872.948,35135,1.0
471,22848.5416,4872.948,35135,1.0
472,22878.5416,4872.948,35135,1.0
473,22908.5416,4872.948,35135,1.0
474,22938.5416,4872.948,35135,1.0
475,22968.5416,4872.948,35135,1.0
476,22998.5416,4872.948,35135,1.0
477,23028.5416,4872.948,35135,1.0
478,23058.5416,4872.948,35135,1.0
479,23088.5416,4872.948,35135,1.0
480,23118.5416,4872.948,35135,1.0
481,23148.5416,4872.948,35135,1.0
482,23178.5416,4872.948,35135,1.0
483,23208.5416,4872.948,35135,1.0
484,21828.5416,4842.948,35135,1.0
485,21858.5416,4842.948,35135,1.0
